name,Institution,wRAA,adj_wRAA,OAA,positions
sydney yoder,East Carolina University,-4.5397,-5.2142485927656566,0.1729442415882761,"LF, C, RF"
logan turner,Florida International University,-4.7582,-5.2864525383693,-0.6340773554550431,"RF, LF"
samantha miller,Coastal Carolina University,-4.1708,-5.330320026545047,-3.0084549990344307,"C, RF, LF, 3B"
samantha miller,Coastal Carolina University,-4.1708,-5.330320026545047,-3.9402623893148525,"C, RF, LF, 3B"
samantha miller,Saint Peter's University,-4.1708,-5.330320026545047,-3.0084549990344307,"C, RF, LF, 3B"
samantha miller,Saint Peter's University,-4.1708,-5.330320026545047,-3.9402623893148525,"C, RF, LF, 3B"
leslie romero,University of New Mexico,-5.4926,-5.339248807652031,-3.1674285645273192,"C, 2B"
maicie levitt,Cornell University,-4.5047,-5.394283759910602,0.14687788089689513,SS
hallie bryant,University of South Florida,-6.4771,-5.554690382758477,-0.6493297039369275,"LF, CF"
shanel stott,"University of Maryland, Baltimore County",-4.0722,-5.711424427988369,2.7563983102804737,"2B, SS"
abigail brown,Georgia State University,-5.2886,-5.8168525383693,-0.300148473539953,"1B, 3B"
morgan medford,Tarleton State University,-5.147,-6.1376325050819664,0.35175874234447146,SS
maya barnes,Prairie View A&M University,-4.1541,-6.1557718612166745,-0.5846712738286082,"RF, CF"
emily bracamonte,Central Michigan University,-5.2223,-6.486808571095171,-0.3434172202615121,3B
korie thomas,"University of California, Santa Barbara",-5.8671,-6.570641338737419,-0.28505971827673304,"3B, 1B"
riley riendeau,Monmouth University,-5.3854,-6.575812313263299,0.2239400300695329,"1B, 3B"
sydney carithers,Stephen F. Austin State University,-5.9894,-6.581555217312303,0.4694291805616698,"C, 3B, 2B"
isabella galloway,Kennesaw State University,-7.0732,-6.598951469324418,-2.0492891478572184,2B
dawn pawlak,University of Wisconsin-Green Bay,-5.1107,-7.085953611628461,-3.141589197164433,"1B, SS, RF"
peyton gale,University of Northern Colorado,-4.4474,-7.12232448689416,-0.7182241341975716,3B
ella mcgalliard,Winthrop University,-6.8582,-7.149721992053797,0.4250019073893613,3B
keierra bowman,"Southern University, Baton Rouge",-4.6029,-7.549383953946681,-2.570643143987313,"SS, 2B"
lauren porter,Western Michigan University,-5.7835,-7.758753611628461,-1.3105621289705156,"SS, 1B"
brianna rodriguez,Brown University,-6.4021,-8.016997555501991,0.2010993125209707,"CF, RF"
anna greenwell,Eastern Kentucky University,-7.8318,-8.210842874335293,0.47572129451664924,3B
riley dittmar,Eastern Illinois University,-6.2774,-8.378973696668336,-1.561952018829125,"2B, CF, RF, C"
eve serrato,Monmouth University,-7.2084,-8.3988123132633,0.2657370882707135,2B
bianca worthy,Wagner College,-7.1996,-8.705215391565822,0.5717465280809113,"RF, CF"
skylar padgett,North Dakota State University,-9.0897,-9.558424046927088,0.5907957951319516,2B
marissa marshall,South Carolina State University,-6.8156,-9.610991046061587,-0.07100492066282404,"3B, 1B"
rebecca clark,Presbyterian College,-10.5152,-11.04558224142907,0.9261420618949456,LF
emily whelan,"University of Massachusetts, Amherst",-10.2151,-11.087567068098327,-0.06075351681114144,"LF, RF"
emma mclaughlin,Siena College,-10.1823,-12.461975765726617,-1.1236627079308015,"1B, RF"
maria angelino,Dartmouth College,-10.5546,-12.616501942789087,-0.019549247538362846,"1B, 3B"
alexis chavez,University of Louisiana Monroe,-16.1615,-15.312955670186163,-0.29573054877586125,2B
