Player,wRC,through,Headshot,rank
"Skyes, Nadia",3.4782608695652173,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/1.png?width=80,4
"Skyes, Nadia",5.0625,16,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/1.png?width=80,2
"Skyes, Nadia",3.272727272727273,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/1.png?width=80,4
"Skyes, Nadia",4.266666666666667,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/1.png?width=80,3
"Skyes, Nadia",0.5882352941176471,20,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/1.png?width=80,7
"Skyes, Nadia",4.090909090909091,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/1.png?width=80,3
"Skyes, Nadia",0,21,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/1.png?width=80,10
"Skyes, Nadia",1,13,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/1.png?width=80,8
"Skyes, Nadia",0.6666666666666666,14,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/1.png?width=80,8
"Smith, Alaina",0,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/33.png?width=80,12.5
"Smith, Alaina",0,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/33.png?width=80,12.5
"Smith, Alaina",0,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/33.png?width=80,12
"Smith, Alaina",0,9,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/33.png?width=80,10.5
"Smith, Alaina",0,16,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/33.png?width=80,11
"Smith, Alaina",0,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/33.png?width=80,11.5
"Tarpey, Michele",0,5,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/8.png?width=80,10
"Whittaker, Libby",0.5,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/11.png?width=80,9
"Whittaker, Libby",0.5714285714285714,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/11.png?width=80,10
"Whittaker, Libby",0.5,16,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/11.png?width=80,9
"Whittaker, Libby",0.5714285714285714,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/11.png?width=80,9
"Whittaker, Libby",0.4444444444444444,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/11.png?width=80,10
