no,first_name,last_name,yr,pos,g,tc,po,a,e,fpct,dp,sba,rcs,rcs_percent,pb,ci,team_name,division
31,Brady,Rudluff,Sophomore,1B,43,129,116,6,7,0.946,1,0,0,0,0,0,Shawnee,1
9,Jaiden,Foster,Sophomore,OF,49,128,112,5,11,0.914,0,0,0,0,0,0,Shawnee,1
4,Maddie,Thornton,Freshman,C,37,113,93,15,5,0.956,0,78,7,0.082,6,0,Shawnee,1
3,Kaylee,Spence,Sophomore,1B,44,94,85,2,7,0.926,0,0,0,0,0,0,Shawnee,1
7,Caitlyn,Meshell,Sophomore,OF,48,89,77,5,7,0.921,0,0,0,0,0,0,Shawnee,1
18,Kaitlyn,Kaetzel,Freshman,C/OF,44,109,74,19,16,0.853,0,15,2,0.118,2,0,Shawnee,1
14,Memphis,Lassiter,Sophomore,2B/OF,37,88,67,14,7,0.92,1,0,0,0,0,0,Shawnee,1
22,Chandler,Moss,Sophomore,P/3B/SS,48,135,51,75,9,0.933,0,0,0,0,0,0,Shawnee,1
30,Gwen,Munsell,Freshman,C/3B,44,107,48,52,7,0.935,0,0,0,0,0,0,Shawnee,1
10,Valerie,Greenley,Sophomore,P/OF,47,114,40,59,15,0.868,0,0,0,0,0,0,Shawnee,1
6,Payton,Seip,Freshman,OF/1B,20,31,24,0,7,0.774,0,0,0,0,0,0,Shawnee,1
16,Mia,Basenburg,Sophomore,3B,39,43,18,18,7,0.837,1,0,0,0,0,0,Shawnee,1
8,Mallorie,Stone,Freshman,C/SS,12,25,18,5,2,0.92,0,14,2,0.125,1,0,Shawnee,1
20,Jayden,Welch,Freshman,P/1B,30,26,16,2,8,0.692,0,3,0,0,0,0,Shawnee,1
11,Sydney,Schenk,Freshman,"C, 2B, OF",25,29,15,12,2,0.931,0,8,1,0.111,1,0,Shawnee,1
17,Maddie,Jenkins,Freshman,SS/3B/2B,15,29,12,11,6,0.793,1,0,0,0,0,0,Shawnee,1
13,Ashanti,Jones,,OF,6,3,1,0,2,0.333,0,0,0,0,0,0,Shawnee,1
27,Elizabeth,Gilbert,Sophomore,UTL,6,1,0,0,1,0,0,0,0,0,0,0,Shawnee,1
12,Jenna,Bunting,NA,C,54,292,266,15,11,0.962,0,26,9,0.257,28,0,Southeastern Illinois,1
9,Kirsten,Jordan,NA,1B,49,285,266,7,12,0.958,8,0,0,0,0,0,Southeastern Illinois,1
4,Trinity,Higgins,NA,UT,49,157,98,54,5,0.968,6,0,0,0,0,0,Southeastern Illinois,1
6,Madison,Weber,NA,SS,54,231,70,140,21,0.909,10,0,6,1,0,0,Southeastern Illinois,1
14,Megan,Beach,NA,RF,54,69,58,6,5,0.928,2,0,0,0,0,0,Southeastern Illinois,1
30,Tiffanie,Hunt,NA,LF,47,45,37,2,6,0.867,0,0,0,0,0,0,Southeastern Illinois,1
22,Whitley,Hunter,NA,P/3B,54,135,37,88,10,0.926,3,0,1,1,0,0,Southeastern Illinois,1
25,Brylee,Anderton,NA,3B/DP,50,65,35,20,10,0.846,1,0,0,0,0,0,Southeastern Illinois,1
42,Haley,Sullivan,NA,2B/C,33,49,34,12,3,0.939,0,9,0,0,6,0,Southeastern Illinois,1
5,Hadlee,Rich,NA,OF,46,41,29,2,10,0.756,0,0,0,0,0,0,Southeastern Illinois,1
17,Whitney,Weller,NA,CF,42,26,22,2,2,0.923,0,0,0,0,0,0,Southeastern Illinois,1
10,Madison,Bolte,NA,P/3B,48,55,19,27,9,0.836,2,0,0,0,0,0,Southeastern Illinois,1
7,Bailee,Braddy,NA,2B,35,43,19,22,2,0.953,2,0,0,0,0,0,Southeastern Illinois,1
15,Morgan,Snell,NA,P,31,24,14,6,4,0.833,0,1,0,0,0,0,Southeastern Illinois,1
27,Rachel,Richter,NA,P,23,14,5,8,1,0.929,0,0,0,0,0,0,Southeastern Illinois,1
17,Payton,Bode,Sophomore,C,51,221,204,14,3,0.986,0,24,6,0.2,2,0,Southwestern Illinois,1
23,Caroline,Gibson,Freshman,1B,29,141,132,2,7,0.95,0,0,0,0,0,0,Southwestern Illinois,1
27,Peyton,Hilpert,Freshman,C,36,104,98,6,0,1,0,20,4,0.167,1,0,Southwestern Illinois,1
11,Emily,Smith,Sophomore,OF,52,105,97,7,1,0.99,0,2,1,0.333,0,0,Southwestern Illinois,1
24,Maddie,Davis,Freshman,SS,50,184,81,84,19,0.897,1,0,0,0,0,0,Southwestern Illinois,1
5,Lexi,Ryan,Freshman,2B,50,147,81,62,4,0.973,5,0,0,0,0,0,Southwestern Illinois,1
9,Kiley,Ladage,Freshman,1B/P,16,81,76,4,1,0.988,0,0,0,0,0,0,Southwestern Illinois,1
4,Kaytie,Kossina,Sophomore,3B,52,147,61,81,5,0.966,3,0,0,0,0,0,Southwestern Illinois,1
8,Carli,Foersterling,Freshman,OF,39,46,41,1,4,0.913,0,0,0,0,0,0,Southwestern Illinois,1
16,Lexi,Renner,Sophomore,OF/P,30,42,40,0,2,0.952,0,0,0,0,0,0,Southwestern Illinois,1
3,Jaci,Elliott,Freshman,OF,37,34,33,0,1,0.971,0,0,0,0,0,0,Southwestern Illinois,1
10,Tayler,Hope,Sophomore,OF,35,33,28,0,5,0.848,0,0,0,0,0,0,Southwestern Illinois,1
1,Chloe,Segarra,Freshman,3B/SS,29,44,17,23,4,0.909,2,0,0,0,0,0,Southwestern Illinois,1
22,Kylie,Angel,Freshman,P,23,25,11,13,1,0.96,0,1,1,0.5,0,0,Southwestern Illinois,1
20,Grace,Middendorf,Freshman,P,27,42,8,33,1,0.976,0,1,0,0,0,0,Southwestern Illinois,1
7,Emily,Allsman,Sophomore,P,24,14,3,11,0,1,0,2,0,0,0,0,Southwestern Illinois,1
25,Liz,Young,Sophomore,P,51,12,2,9,1,0.917,0,0,0,0,0,0,Southwestern Illinois,1
9,Marisa,Lane,Sophomore,IF/OF,57,364,347,11,6,0.984,0,0,0,0,0,0,Wabash Valley,1
13,Abby,Schreiner,Freshman,C/IF,59,252,196,54,2,0.992,0,16,1,0.059,0,0,Wabash Valley,1
24,Kamille,Johnson,Sophomore,C/IF,56,168,120,41,7,0.958,0,3,1,0.25,2,0,Wabash Valley,1
12,Kinley,Edwards,Sophomore,IF/OF,57,97,83,3,11,0.887,0,0,0,0,0,0,Wabash Valley,1
1,Kinsly,Heichelbech,Freshman,OF/C,59,104,83,11,10,0.904,0,0,0,0,0,0,Wabash Valley,1
22,Gracee,Sullivan,Sophomore,IF,59,162,75,77,10,0.938,1,0,0,0,0,0,Wabash Valley,1
21,Jayley,Akers,Sophomore,,54,172,73,91,8,0.953,0,0,0,0,0,0,Wabash Valley,1
15,Abbi,Mocaby,Freshman,IF,47,159,45,96,18,0.887,1,0,0,0,0,0,Wabash Valley,1
18,Taylor,Wilke,Sophomore,OF,49,36,29,3,4,0.889,0,0,0,0,0,0,Wabash Valley,1
27,Emma,Holder,Sophomore,C/IF,13,16,11,3,2,0.875,0,7,0,0,2,0,Wabash Valley,1
0,Adie,Nolley,Sophomore,C/IF,19,10,8,2,0,1,0,0,1,1,0,0,Wabash Valley,1
10,Demi,Wolfe,Freshman,IF,41,49,7,39,3,0.939,0,0,0,0,0,0,Wabash Valley,1
8,Kyrsten,White,Sophomore,P/OF,35,17,5,12,0,1,0,1,0,0,0,0,Wabash Valley,1
7,Lexi,Burris,Sophomore,P,32,27,2,24,1,0.963,0,2,0,0,0,0,Wabash Valley,1
3,Emma,Robinson,Freshman,IF,9,2,2,0,0,1,0,0,0,0,0,0,Wabash Valley,1
4,Angelina,Shaw,Freshman,IF/OF,1,1,1,0,0,1,0,0,0,0,0,0,Wabash Valley,1
11,Ammerisa,Benson,Freshman,C/UT,51,254,245,6,3,0.988,2,60,7,0.104,29,0,Chandler-Gilbert,2
7,Alyssa,Figueroa,Sophomore,INF,51,209,184,17,8,0.962,8,0,0,0,0,0,Chandler-Gilbert,2
4,Brandee,Ayala,Sophomore,OF,55,102,94,3,5,0.951,1,0,0,0,0,0,Chandler-Gilbert,2
17,Corinne,Collins,Sophomore,C/INF,50,114,77,24,13,0.886,3,9,2,0.182,5,0,Chandler-Gilbert,2
27,Hailey,Berry,Freshman,INF,53,146,74,50,22,0.849,9,0,0,0,0,0,Chandler-Gilbert,2
12,Kaylee,Shellenberger,Sophomore,INF,55,151,70,65,16,0.894,8,0,0,0,0,0,Chandler-Gilbert,2
15,Melia,Hecht,Sophomore,OF,47,78,68,5,5,0.936,1,0,0,0,0,0,Chandler-Gilbert,2
24,Kenady,Converse,Freshman,OF,47,71,54,11,6,0.915,2,0,0,0,0,0,Chandler-Gilbert,2
5,Sydnee,Edwards,Sophomore,P/UT,45,58,44,7,7,0.879,5,2,0,0,0,0,Chandler-Gilbert,2
8,Paige,Salazar,Sophomore,P/OF,54,68,41,19,8,0.882,1,0,0,0,0,0,Chandler-Gilbert,2
16,Ahjaida,Solomon,Freshman,P/INF,39,30,16,12,2,0.933,0,2,0,0,0,0,Chandler-Gilbert,2
2,Kaylin,Drake,Freshman,UT,18,23,9,11,3,0.87,0,0,0,0,0,0,Chandler-Gilbert,2
10,Isabella,Hernandez,Freshman,Pitcher,20,6,4,0,2,0.667,1,2,0,0,0,0,Chandler-Gilbert,2
17,Amaya,Porch,Sophomore,,48,142,124,7,11,0.923,1,8,1,0.111,1,0,GateWay (AZ),2
11,Shantel,Ortiz,Freshman,C/UT,29,130,120,9,1,0.992,0,37,7,0.159,3,0,GateWay (AZ),2
22,Leticia,Herrera,Freshman,OF/C,47,112,100,2,10,0.911,0,0,0,0,0,0,GateWay (AZ),2
21,Kaitlin,Samuelson,Freshman,,29,92,85,4,3,0.967,2,0,0,0,0,0,GateWay (AZ),2
4,Angelina,Martinez,Freshman,OF,45,92,83,3,6,0.935,1,0,0,0,0,0,GateWay (AZ),2
10,Antarez,Sierra,Freshman,SS,46,122,74,41,7,0.943,5,0,0,0,0,0,GateWay (AZ),2
1,Rosalie,Celaya,Freshman,OF,45,110,54,38,18,0.836,2,0,0,0,0,0,GateWay (AZ),2
23,Jasmine,Cardenas,Freshman,OF,30,58,50,2,6,0.897,1,0,0,0,0,0,GateWay (AZ),2
15,Kelly,Katalbas,Freshman,,47,78,48,24,6,0.923,1,0,0,0,0,0,GateWay (AZ),2
13,Rebekka,Nance,Freshman,3B/C,48,105,45,51,9,0.914,1,16,1,0.059,9,0,GateWay (AZ),2
25,Victoria,Mendoza,Freshman,1B,29,34,32,2,0,1,0,0,0,0,0,0,GateWay (AZ),2
20,Kaidiance,Cleland,Freshman,,38,44,31,5,8,0.818,0,3,0,0,4,0,GateWay (AZ),2
24,Jai'dyn,Moore,Freshman,P/1B,15,13,11,1,1,0.923,0,0,0,0,0,0,GateWay (AZ),2
2,Kinsey,Garcia,Freshman,OF/2B,4,9,6,2,1,0.889,0,0,0,0,0,0,GateWay (AZ),2
0,Sawyer,Snodgrass,Sophomore,NA,56,240,217,16,7,0.971,0,6,0,0,0,0,Glendale,2
16,Natalie,Martinez,Freshman,NA,49,167,147,6,14,0.916,0,0,0,0,0,0,Glendale,2
6,Nayeli,Montijo,Freshman,NA,47,210,145,43,22,0.895,0,0,0,0,0,0,Glendale,2
4,Bella,Serratos,Freshman,NA,53,220,84,115,21,0.905,0,0,0,0,0,0,Glendale,2
77,Taylor,Caccavale,Freshman,NA,53,95,83,5,7,0.926,0,0,0,0,0,0,Glendale,2
5,Alyssie,Blythe,Sophomore,NA,45,170,76,78,16,0.906,0,0,0,0,0,0,Glendale,2
9,Lexie,Kline,Freshman,NA,56,96,72,8,16,0.833,0,0,0,0,0,0,Glendale,2
7,Savannah,Howard,Sophomore,NA,54,77,65,2,10,0.87,0,0,0,0,0,0,Glendale,2
17,Carmen,Salinas,Freshman,NA,52,124,61,52,11,0.911,0,0,0,0,0,0,Glendale,2
11,Laney,Williams,Sophomore,NA,43,23,21,2,0,1,0,0,0,0,0,0,Glendale,2
18,Sam,Patnode,Freshman,NA,39,23,18,2,3,0.87,0,0,0,0,0,0,Glendale,2
13,Mia,Machado,Sophomore,NA,36,22,4,15,3,0.864,0,0,0,0,0,0,Glendale,2
8,Makayla,Price,Freshman,NA,19,5,4,0,1,0.8,0,0,0,0,0,0,Glendale,2
99,MJ,Bannon,Freshman,NA,34,18,3,14,1,0.944,0,2,0,0,0,0,Glendale,2
33,Sydney,Roe,Sophomore,NA,13,6,2,3,1,0.833,0,0,0,0,0,0,Glendale,2
3,Jade,Nunez,Sophomore,NA,4,1,0,1,0,1,0,0,0,0,0,0,Glendale,2
2,Alana,Wong,Freshman,NA,10,3,0,3,0,1,0,0,0,0,0,0,Glendale,2
12,Natalie,Beltran-Hernandez,Freshman,IF,43,6,0,0,6,0,0,0,0,0,0,0,Mesa,2
44,Rylee,Blackburn,Sophomore,IF,52,3,0,0,3,0,0,0,0,0,0,0,Mesa,2
6,Leilanie,Dalizon,Freshman,,56,20,0,0,20,0,0,0,0,0,0,0,Mesa,2
0,Adele,Didriksen,Freshman,,42,7,0,0,7,0,0,0,0,0,0,0,Mesa,2
3,Justine,Encinas,Sophomore,IF,46,4,0,0,4,0,0,0,0,0,0,0,Mesa,2
7,Vero,Gonzales,Sophomore,IF,47,3,0,0,3,0,0,0,0,0,0,0,Mesa,2
9,Alyssa,Grandpre,Freshman,P,26,1,0,0,1,0,0,0,0,0,0,0,Mesa,2
2,Jerzey,Gutierrez,Freshman,P,20,1,0,0,1,0,0,0,0,0,0,0,Mesa,2
26,Sydnie,Navaho,Freshman,P,40,1,0,0,1,0,0,0,0,0,0,0,Mesa,2
34,Alanie,Ornelas,Sophomore,P,45,4,0,0,4,0,0,0,0,0,0,0,Mesa,2
22,Ariana,Preciado,Sophomore,,26,2,0,0,2,0,0,0,0,0,0,0,Mesa,2
15,Alex,Reeve,Sophomore,LF,46,7,0,0,7,0,0,0,0,0,0,0,Mesa,2
11,Lexie,Roberson,Freshman,,28,4,0,0,4,0,0,0,0,0,0,0,Mesa,2
42,Alexxa,Torres,Freshman,OF,20,3,0,0,3,0,0,0,0,0,0,0,Mesa,2
8,Odessa,Treese,Sophomore,IF,34,14,0,0,14,0,0,0,0,0,0,0,Mesa,2
22,Jazlyn,Romero,Sophomore,NA,42,165,154,10,1,0.994,0,0,0,0,0,0,Paradise Valley,2
3,Katherine,Smith,Sophomore,NA,38,168,145,15,8,0.952,0,0,0,0,0,0,Paradise Valley,2
24,Maegan,Viramontes,Sophomore,NA,48,87,83,0,4,0.954,0,0,0,0,0,0,Paradise Valley,2
20,Monika,Rodriguez,Sophomore,NA,22,87,70,9,8,0.908,0,0,0,0,0,0,Paradise Valley,2
23,Emily,Viramontes,Sophomore,NA,47,168,69,76,23,0.863,0,0,0,0,0,0,Paradise Valley,2
7,Abby,Menor,Freshman,NA,39,75,51,15,9,0.88,0,0,0,0,0,0,Paradise Valley,2
11,Estevannie,Rojas,Freshman,NA,43,57,50,3,4,0.93,0,0,0,0,0,0,Paradise Valley,2
14,Briana,Govea,Sophomore,NA,41,106,47,39,20,0.811,0,0,0,0,0,0,Paradise Valley,2
16,Taniyah,LaDrigue,Sophomore,NA,39,111,46,49,16,0.856,0,0,0,0,0,0,Paradise Valley,2
4,Angelique,Aguayo,Sophomore,NA,42,96,43,34,19,0.802,0,0,0,0,0,0,Paradise Valley,2
18,Siennah,Serrano,Freshman,NA,19,48,38,6,4,0.917,0,0,0,0,0,0,Paradise Valley,2
6,Dawn,Morris,Sophomore,NA,35,52,31,13,8,0.846,0,0,0,0,0,0,Paradise Valley,2
5,Eviana,Varela,Sophomore,NA,38,112,27,67,18,0.839,0,0,0,0,0,0,Paradise Valley,2
19,Holly,Myers,Freshman,NA,23,20,2,13,5,0.75,0,0,0,0,0,0,Paradise Valley,2
8,Kendra,Lopez-Rodas,Freshman,NA,8,1,1,0,0,1,0,0,0,0,0,0,Paradise Valley,2
18,Jenna,Huey,Sophomore,IF,62,280,243,22,15,0.946,5,0,0,0,0,0,Phoenix,2
4,Asia,Jones,Freshman,C/INF,61,209,209,0,0,1,0,20,6,0.231,22,0,Phoenix,2
22,Sydnee,Stapleton,Freshman,C,33,123,118,3,2,0.984,0,8,3,0.273,13,0,Phoenix,2
15,Riley,Martens,Freshman,IF,41,105,98,2,5,0.952,1,0,0,0,0,0,Phoenix,2
8,Danitza,Hernandez,Freshman,IF,62,176,81,73,22,0.875,8,0,0,0,0,0,Phoenix,2
27,Cheyenne,Ben,Freshman,IF,55,126,65,51,10,0.921,3,0,0,0,0,0,Phoenix,2
10,Bella,Angelo,Sophomore,UTIL,60,63,59,2,2,0.968,1,0,0,0,0,0,Phoenix,2
7,Karyn,Meier,Sophomore,IF,60,104,44,47,13,0.875,7,0,0,0,0,0,Phoenix,2
24,Kayla,Miranda,Freshman,IF,24,37,32,2,3,0.919,1,0,0,0,0,0,Phoenix,2
6,Loganne,Stepp,Freshman,,56,49,32,12,5,0.898,1,0,0,0,0,0,Phoenix,2
55,Brianna,Jorgenson,Sophomore,C/UTIL,32,37,31,4,2,0.946,1,0,0,0,1,0,Phoenix,2
16,Alexis,Ayersman,Freshman,P/INF,47,55,26,26,3,0.945,2,1,0,0,0,0,Phoenix,2
17,Elise,Kingston,Sophomore,IF,37,57,20,33,4,0.93,1,0,0,0,0,0,Phoenix,2
25,Madison,Garcia,Freshman,OF,41,22,19,0,3,0.864,1,0,0,0,0,0,Phoenix,2
77,Mackenzie,Manygoats,Freshman,IF,27,42,18,13,11,0.738,1,0,0,0,0,0,Phoenix,2
20,Brooklyn,Gainey,Freshman,OF,37,12,12,0,0,1,0,0,0,0,0,0,Phoenix,2
2,Sydney,Haake,Freshman,P/INF,31,13,3,9,1,0.923,0,0,0,0,0,0,Phoenix,2
44,Alyssa,Tinnin,Freshman,P,18,9,3,6,0,1,0,0,0,0,0,0,Phoenix,2
2,Jasmine,Cueva,Sophomore,DH/1B,31,196,186,3,7,0.964,4,0,0,0,0,0,Scottsdale,2
17,Kinisyn,Hansford,Freshman,UTIL,40,180,165,7,8,0.956,5,0,0,0,0,0,Scottsdale,2
4,Siyenna,Ozaeta,Sophomore,C/OF,32,113,83,13,17,0.85,0,52,12,0.188,15,1,Scottsdale,2
1,Shelby,Cordova,Sophomore,UTIL,48,89,68,5,16,0.82,0,0,0,0,0,0,Scottsdale,2
7,Lakisha,Shorty,Sophomore,UTIL,46,133,63,45,25,0.812,1,0,0,0,0,0,Scottsdale,2
5,Catalina,Sanchez,Freshman,UTIL,47,175,55,101,19,0.891,7,0,0,0,0,0,Scottsdale,2
11,Leah,Shay,Freshman,C,18,51,44,3,4,0.922,0,21,3,0.125,9,0,Scottsdale,2
13,Bailey,Behrend,Freshman,UTIL,40,87,42,33,12,0.862,1,0,0,0,0,0,Scottsdale,2
19,Eva,Mcninch,Freshman,UTIL,36,111,42,55,14,0.874,0,0,0,0,0,0,Scottsdale,2
8,Katherine,Lincoln,Freshman,MI/P,23,99,28,60,11,0.889,2,0,0,0,0,0,Scottsdale,2
14,Chahnya,Flint,Freshman,UTIL,29,29,23,4,2,0.931,0,0,0,0,0,0,Scottsdale,2
6,Zoie,Thomas,Freshman,OF,27,19,16,2,1,0.947,1,0,0,0,0,0,Scottsdale,2
22,Jasmine,Jackson,Freshman,OF,8,8,5,1,2,0.75,0,0,0,0,0,0,Scottsdale,2
3,Adriana,Armstrong,Freshman,P/1B,34,32,4,24,4,0.875,0,0,0,0,0,0,Scottsdale,2
27,Erica,Gilles,Freshman,P,46,6,2,3,1,0.833,0,0,0,0,0,0,Scottsdale,2
21,Natalie,Figueroa,Freshman,OF,6,2,1,0,1,0.5,0,0,0,0,0,0,Scottsdale,2
24,Halle,Hogan,Freshman,OF,58,217,206,6,5,0.977,13,0,0,0,0,0,South Mountain,2
25,Annalise,Chavez,Sophomore,OF,42,167,162,4,1,0.994,0,26,1,0.037,8,0,South Mountain,2
7,Makaiya,Gomez,Sophomore,OF,64,131,122,6,3,0.977,2,0,0,0,0,0,South Mountain,2
8,Rebecca,Miller,Sophomore,UTIL,28,124,113,10,1,0.992,0,9,2,0.182,4,1,South Mountain,2
2,Brianna,Garcia,Freshman,UTIL,64,221,106,91,24,0.891,12,0,0,0,0,0,South Mountain,2
4,Sarah,Potter,Freshman,OF,50,102,100,0,2,0.98,6,0,0,0,0,0,South Mountain,2
3,Mia,Franco,Freshman,UTIL,61,109,76,24,9,0.917,3,0,0,0,0,0,South Mountain,2
6,Iliana,Munoz,Freshman,INF,60,190,74,98,18,0.905,5,2,0,0,1,0,South Mountain,2
17,Vanessa,Philpot,Freshman,INF,57,163,72,80,11,0.933,8,4,0,0,0,0,South Mountain,2
23,Anisa,Reynolds,Sophomore,P/OF,60,80,46,25,9,0.887,0,3,0,0,0,0,South Mountain,2
18,Mekaila,Smith,Freshman,C/INF,10,34,32,2,0,1,0,3,1,0.25,2,0,South Mountain,2
10,Jessica,Gordon,Sophomore,OF,43,39,30,3,6,0.846,0,0,0,0,0,0,South Mountain,2
13,Sadie,West,Freshman,INF,10,36,28,4,4,0.889,1,0,0,0,0,0,South Mountain,2
16,Miranda,Martinez,Freshman,OF,24,16,15,0,1,0.938,0,0,0,0,0,0,South Mountain,2
1,Angelica,Tello,Freshman,P,30,18,5,9,4,0.778,0,2,0,0,0,0,South Mountain,2
9,Mykenzie,Flores,Freshman,P,32,27,3,23,1,0.963,1,1,0,0,0,0,South Mountain,2
22,Adenira,Marquez,Freshman,P/INF,13,5,1,4,0,1,0,0,0,0,0,0,South Mountain,2
7,Kattie,Bailey,Freshman,LHP/IF,45,222,194,16,12,0.946,5,0,0,0,0,0,Carl Albert State,2
12,Delaney,Willoughby,Freshman,C/IF,45,143,118,22,3,0.979,1,28,10,0.263,19,0,Carl Albert State,2
3,Haley,Nguyen,Sophomore,OF,46,123,105,7,11,0.911,0,0,0,0,0,0,Carl Albert State,2
13,Mykala,Dodds,Freshman,OF,44,128,77,36,15,0.883,0,0,0,0,0,0,Carl Albert State,2
8,Reagan,Smith,Freshman,OF,45,86,74,1,11,0.872,0,0,0,0,0,0,Carl Albert State,2
17,Isabel,Ray,Sophomore,RHP/IF,45,120,73,41,6,0.95,4,0,0,0,0,0,Carl Albert State,2
5,Cheyenne,Miller,Freshman,IF,43,169,49,84,36,0.787,2,0,0,0,0,0,Carl Albert State,2
22,Abby,Ellis,Freshman,IF,38,154,47,87,20,0.87,4,0,0,0,0,0,Carl Albert State,2
11,Shaileigh,Gilkey,Freshman,OF,35,31,28,0,3,0.903,0,0,0,0,0,0,Carl Albert State,2
6,Rachel,Dismuke,Freshman,IF,30,27,23,2,2,0.926,0,0,0,0,0,0,Carl Albert State,2
2,Trinity,Wiseman,Freshman,OF,13,17,14,2,1,0.941,2,0,0,0,0,0,Carl Albert State,2
14,Brandi,Woods,Freshman,C/IF,17,21,11,8,2,0.905,0,9,0,0,2,0,Carl Albert State,2
19,Allee,Erne,Freshman,RHP,29,22,7,12,3,0.864,0,0,0,0,0,0,Carl Albert State,2
18,Shallen,Mershon,Sophomore,Utility,59,386,362,23,1,0.997,3,30,12,0.286,2,0,Murray State,2
12,Abby,Beck,Sophomore,IF,59,361,353,7,1,0.997,19,0,0,0,0,0,Murray State,2
17,Jadyn,Hook,Sophomore,IF,58,157,63,88,6,0.962,13,0,0,0,0,0,Murray State,2
10,Emma,Damato,Sophomore,IF,52,138,48,77,13,0.906,8,0,0,0,0,0,Murray State,2
4,Chesnie,Hewitt,Sophomore,Utility,59,66,47,18,1,0.985,2,0,0,0,0,0,Murray State,2
32,KJ,Morgan,Sophomore,OF,58,43,42,1,0,1,1,0,0,0,0,0,Murray State,2
3,Kenzie,Tuck,Sophomore,IF,59,125,38,81,6,0.952,4,0,0,0,0,0,Murray State,2
21,Brylea,Russell,Sophomore,C,54,40,36,3,1,0.975,0,3,0,0,0,0,Murray State,2
2,Karsyn,York,Freshman,OF,25,19,18,0,1,0.947,0,0,0,0,0,0,Murray State,2
8,Morgan,Skold,Freshman,C,4,9,9,0,0,1,0,2,0,0,0,0,Murray State,2
31,Jordan,Hayes,Freshman,IF,5,8,8,0,0,1,1,0,0,0,0,0,Murray State,2
11,Christina,Clark,Freshman,P,29,18,5,13,0,1,0,3,0,0,0,0,Murray State,2
6,Remi,West,Sophomore,OF,26,4,4,0,0,1,0,0,0,0,0,0,Murray State,2
5,Ileana,Lucio,Sophomore,P,27,11,3,6,2,0.818,0,0,0,0,0,0,Murray State,2
1,Mattie,Richardson,Freshman,OF,37,3,3,0,0,1,0,0,0,0,0,0,Murray State,2
20,Alexa,Hopkins,Sophomore,P,53,65,2,60,3,0.954,2,7,0,0,0,0,Murray State,2
15,Shakira,Smith,Sophomore,OF,11,2,2,0,0,1,0,0,0,0,0,0,Murray State,2
16,Taylor,Marchin,Freshman,P,5,2,1,1,0,1,0,0,0,0,0,0,Murray State,2
9,Ainsley,Trapp,Freshman,IF,5,3,1,2,0,1,1,0,0,0,0,0,Murray State,2
7,Rayna,Rock,Freshman,IF,60,1,0,1,0,1,0,0,0,0,0,0,Murray State,2
18,Gracie,Redmon,Freshman,C/3B,52,275,263,11,1,0.996,1,67,11,0.141,4,0,National Park,2
27,Reagan,Torres,Freshman,1B,43,152,142,4,6,0.961,6,0,0,0,0,0,National Park,2
2,Emma,Hayes,Sophomore,OF,54,101,89,7,5,0.95,0,0,0,0,0,0,National Park,2
22,Shelbee,LeJeune,Sophomore,OF,52,93,89,2,2,0.978,0,0,0,0,0,0,National Park,2
42,Abigail,Pittman,Sophomore,1B/2B,44,89,75,5,9,0.899,2,0,0,0,0,0,National Park,2
33,Reagan,White,Freshman,OF/2B,54,140,75,52,13,0.907,1,0,0,0,0,0,National Park,2
14,Aubree,Goodnight,Freshman,OF/2B,50,67,65,0,2,0.97,0,0,0,0,0,0,National Park,2
32,Logan,Nies,Freshman,SS/2B,46,127,63,52,12,0.906,6,0,0,0,0,0,National Park,2
52,Katie,Branch,Freshman,3B/SS,52,130,36,75,19,0.854,4,0,0,0,0,0,National Park,2
26,Makenna,Keeton,Sophomore,P/1B,44,51,33,16,2,0.961,2,0,0,0,0,0,National Park,2
10,Jadyn,Hart,Sophomore,P/OF,53,49,23,25,1,0.98,0,0,0,0,0,0,National Park,2
30,Sophia,Meadows,Freshman,C/3B,26,19,19,0,0,1,0,9,0,0,0,0,National Park,2
5,Cameron,Person,Freshman,P/1B,24,29,5,23,1,0.966,0,0,0,0,0,0,National Park,2
19,Ashlyn,Bullington,Freshman,2B/OF,6,3,2,0,1,0.667,0,0,0,0,0,0,National Park,2
8,Kacey,Solida,Sophomore,P,24,12,1,11,0,1,0,0,0,0,0,0,National Park,2
11,Oletha,Rich,Freshman,C,51,174,147,20,7,0.96,0,31,11,0.262,6,0,North Arkansas,2
25,Jorden,Hodges,Freshman,P,50,173,145,20,8,0.954,1,0,0,0,0,0,North Arkansas,2
5,Lauren,Webb,Freshman,OF,50,100,90,4,6,0.94,1,1,0,0,0,0,North Arkansas,2
29,Rachel,Essary,Sophomore,IF,38,93,85,4,4,0.957,0,0,0,0,0,0,North Arkansas,2
21,Emilee,Garcia,Freshman,C,31,97,80,10,7,0.928,2,39,11,0.22,11,0,North Arkansas,2
45,Emily,Thomas,Freshman,IF,51,157,68,69,20,0.873,4,0,0,0,0,0,North Arkansas,2
1,Cadence,Graham,Freshman,OF,46,71,61,1,9,0.873,0,0,0,0,0,0,North Arkansas,2
13,Saige,Mahar,Sophomore,IF,52,119,48,56,15,0.874,0,0,0,0,0,0,North Arkansas,2
8,Alyson,Rooney,Freshman,P,44,79,48,27,4,0.949,1,0,0,0,0,0,North Arkansas,2
24,Mattie,Sparks,Sophomore,IF,29,56,24,20,12,0.786,2,2,0,0,0,0,North Arkansas,2
14,Cora,Copeland,Sophomore,OF,18,20,19,1,0,1,1,0,0,0,0,0,North Arkansas,2
