no,first_name,last_name,yr,pos,g,ab,r,h,x2b,x3b,hr,rbi,bb,k,sb,cs,avg,obp,slg,hbp,sf,sh,tb,xbh,hdp,go,fo,go_fo,pa,team_name,division
9,Janelle,Martinez,Sophomore,C/OF/1B,53,181,38,84,16,5,3,45,8,7,23,3,0.464,0.49,0.657,3,2,1,119,24,0,0,0,0,195,Chipola,1
99,Dymond,Roundtree,Freshman,RHP/ 1B,26,32,2,11,0,0,0,6,3,3,0,0,0.344,0.432,0.344,2,0,0,11,0,0,0,0,0,37,Chipola,1
0,Kiley,Lucas,Freshman,MI/OF,27,57,18,11,3,1,0,3,9,19,8,1,0.193,0.313,0.281,1,0,2,16,4,0,2,6,0.33,69,Daytona State,1
10,Jael,Wilde,Sophomore,MI,60,147,34,34,6,5,6,29,18,51,7,0,0.231,0.349,0.463,9,1,8,68,17,0,6,17,0.35,183,Daytona State,1
12,Amayia,Hernandez,Sophomore,OF,56,172,40,67,11,5,7,42,11,28,18,1,0.39,0.438,0.634,7,4,0,109,23,0,5,10,0.5,194,Daytona State,1
14,Rylee,Konowalchuk,Sophomore,C/1B,41,113,11,24,7,0,0,14,6,12,0,2,0.212,0.254,0.274,1,2,1,31,7,2,6,19,0.32,123,Daytona State,1
15,Cristina,Penney,Freshman,OF/SS,45,106,16,17,3,0,0,6,12,15,4,0,0.16,0.262,0.189,3,1,4,20,3,0,8,17,0.47,126,Daytona State,1
16,Sky,Ramos,Freshman,C/OF,43,119,19,28,3,0,1,12,8,20,6,2,0.235,0.321,0.286,8,2,14,34,4,1,8,11,0.73,151,Daytona State,1
17,Reilley,Keefe,Sophomore,C/1B,13,26,2,4,0,0,0,5,2,9,0,0,0.154,0.214,0.154,0,0,0,4,0,0,3,3,1,28,Daytona State,1
18,Jaelyn,Lockhart,Sophomore,OF/1B,28,67,3,14,3,0,0,12,4,16,0,0,0.209,0.267,0.254,2,2,0,17,3,0,7,5,1.4,75,Daytona State,1
19,Mariah,Rivera,Sophomore,P,25,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,Daytona State,1
2,Kadrianna,Grinstead,Freshman,OF,41,105,18,25,4,1,0,13,4,20,6,0,0.238,0.283,0.295,3,1,5,31,5,0,13,12,1.08,118,Daytona State,1
22,Brianna,Weimer,Freshman,MI,59,150,22,37,6,1,1,27,15,34,4,0,0.247,0.349,0.32,9,1,2,48,8,0,4,17,0.24,177,Daytona State,1
23,Bailey,Bessette,Freshman,1B,6,7,0,0,0,0,0,2,1,5,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,8,Daytona State,1
25,Kiera,Mainolfi,Freshman,1B,47,130,15,37,1,1,0,17,12,9,0,0,0.285,0.347,0.308,2,3,4,40,2,0,8,12,0.67,151,Daytona State,1
3,Leighton,Strickland,Sophomore,OF,24,19,7,4,0,0,0,4,4,11,1,2,0.211,0.348,0.211,0,0,0,4,0,0,0,1,0,23,Daytona State,1
6,Adriana,Onessimo,Sophomore,MI/OF,44,121,28,44,2,0,0,16,16,8,5,3,0.364,0.45,0.38,3,0,3,46,2,0,9,13,0.69,143,Daytona State,1
8,Mattie,Linhart,Sophomore,3B,60,180,32,61,11,3,1,34,15,14,4,0,0.339,0.393,0.45,3,3,3,81,15,0,8,29,0.28,204,Daytona State,1
10,Destiny,Lake,Freshman,P,16,4,1,2,0,0,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0,2,0,0,0,0,0,4,Eastern Florida State,1
11,Faith,Campos,Freshman,OF,38,100,19,29,4,0,0,12,7,16,12,0,0.29,0.355,0.33,3,0,4,33,4,0,5,2,2.5,114,Eastern Florida State,1
12,Kaitlyn,Egenes,Freshman,OF,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Eastern Florida State,1
13,Makenzie,Fore,Sophomore,1B,51,137,29,44,11,1,5,33,37,44,3,0,0.321,0.472,0.526,3,1,0,72,17,0,2,3,0.67,178,Eastern Florida State,1
14,Katherine,Lipphardt,Freshman,OF,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Eastern Florida State,1
15,Mandy,Hedetniemi-Taylor,Sophomore,P,35,32,3,9,0,0,0,4,9,10,0,0,0.281,0.429,0.281,0,1,1,9,0,0,2,0,0,43,Eastern Florida State,1
16,Samantha,Formosa,Freshman,IF,42,57,4,8,0,0,0,1,5,17,4,0,0.14,0.246,0.14,3,0,4,8,0,0,0,1,0,69,Eastern Florida State,1
17,Courtney,Stout,Sophomore,SS,42,92,11,17,1,1,0,3,5,30,11,1,0.185,0.25,0.217,3,0,4,20,2,0,4,3,1.33,104,Eastern Florida State,1
18,Ariana,Gonzales,Sophomore,IF,9,15,1,2,0,0,0,0,0,2,1,0,0.133,0.133,0.133,0,0,0,2,0,0,1,1,1,15,Eastern Florida State,1
22,Gracie,Snell,Freshman,INF,47,114,12,29,4,1,1,19,12,29,1,0,0.254,0.326,0.333,2,4,5,38,6,0,11,3,3.67,137,Eastern Florida State,1
25,Trinity,Howard,Sophomore,P,51,165,26,59,11,1,0,14,8,8,14,3,0.358,0.387,0.436,0,0,3,72,12,1,6,10,0.6,176,Eastern Florida State,1
27,Boo,Swoyer,Freshman,3B,17,27,2,9,1,0,0,3,4,4,0,0,0.333,0.438,0.37,1,0,3,10,1,0,1,0,0,35,Eastern Florida State,1
3,Marisa,Shoudt,Freshman,,43,85,11,16,2,0,0,12,13,20,3,1,0.188,0.297,0.212,1,2,7,18,2,0,3,6,0.5,108,Eastern Florida State,1
33,Rachel,Lamoureaux,Sophomore,C,44,128,22,48,3,0,0,8,11,14,15,3,0.375,0.424,0.398,0,0,4,51,3,0,7,2,3.5,143,Eastern Florida State,1
34,Abigail,Smith,Freshman,1B,17,20,2,3,0,0,1,2,5,7,0,0,0.15,0.346,0.3,1,0,0,6,1,0,0,2,0,26,Eastern Florida State,1
4,Sam,Clark,Freshman,C,46,137,12,49,7,1,0,28,1,8,0,2,0.358,0.362,0.423,1,2,4,58,8,0,8,2,4,145,Eastern Florida State,1
45,Jacey,Boykin,Freshman,OF,29,50,5,12,1,0,0,4,1,10,0,0,0.24,0.255,0.26,0,0,2,13,1,0,4,1,4,53,Eastern Florida State,1
9,Ava,Bassani,Freshman,C,43,94,11,24,2,0,0,12,4,19,1,0,0.255,0.29,0.277,1,1,6,26,2,1,2,3,0.67,106,Eastern Florida State,1
1,Shenita,Tucker,Sophomore,OF,59,186,59,76,6,3,0,38,18,16,53,7,0.409,0.46,0.473,3,4,1,88,9,0,22,10,2.2,212,Florida SouthWestern State,1
11,Carys,Platt,Sophomore,IF,59,160,50,64,4,3,0,31,26,23,34,3,0.4,0.477,0.463,2,5,7,74,7,1,17,11,1.55,200,Florida SouthWestern State,1
12,Esmee,Ames,Freshman,RHP,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Florida SouthWestern State,1
13,Jaden,Goodwin,Sophomore,OF,36,69,17,28,4,1,0,17,11,7,2,0,0.406,0.494,0.493,2,1,1,34,5,0,4,6,0.67,84,Florida SouthWestern State,1
16,Gabby,Martin,Freshman,Util.,15,14,4,6,1,1,0,4,1,3,0,0,0.429,0.5,0.643,1,0,1,9,2,0,0,1,0,17,Florida SouthWestern State,1
17,Jennifer,Battiste,Freshman,INF,12,13,3,7,1,0,0,2,2,0,0,0,0.538,0.6,0.615,0,0,0,8,1,0,0,2,0,15,Florida SouthWestern State,1
21,Sietske,Drijvers,Freshman,OF,54,139,37,38,10,0,3,29,12,15,9,1,0.273,0.325,0.41,1,5,3,57,13,0,11,18,0.61,160,Florida SouthWestern State,1
22,Caroline,Figueroa,Sophomore,1B,55,147,18,44,12,0,5,32,11,10,0,2,0.299,0.369,0.483,7,3,7,71,17,1,25,23,1.09,175,Florida SouthWestern State,1
23,Kamryn,Cantu,Freshman,Util.,11,10,3,2,0,1,0,2,0,4,0,0,0.2,0.2,0.4,0,0,0,4,1,0,0,0,0,10,Florida SouthWestern State,1
26,Ella,Moore,Freshman,OF,37,61,12,18,6,0,0,18,7,8,1,0,0.295,0.356,0.393,1,4,1,24,6,0,3,5,0.6,74,Florida SouthWestern State,1
3,Giulia,Bancora,Freshman,C,21,27,4,5,0,0,0,7,6,5,0,1,0.185,0.324,0.185,0,1,1,5,0,0,4,3,1.33,35,Florida SouthWestern State,1
4,Feline,Poot,Sophomore,INF,54,144,48,58,10,3,18,62,15,19,9,0,0.403,0.462,0.889,5,5,1,128,31,0,6,16,0.38,170,Florida SouthWestern State,1
42,Samantha,Smith,Sophomore,RHP,35,40,12,9,3,0,2,10,11,9,0,0,0.225,0.429,0.45,4,1,0,18,5,0,3,3,1,56,Florida SouthWestern State,1
44,Maddy,Golka,Freshman,Util.,42,83,21,28,6,2,1,18,15,8,7,0,0.337,0.44,0.494,1,1,3,41,9,1,5,11,0.45,103,Florida SouthWestern State,1
5,D'Yani,McKinley,Freshman,INF,52,112,37,45,0,3,1,14,13,10,19,2,0.402,0.472,0.482,2,0,2,54,4,2,11,9,1.22,129,Florida SouthWestern State,1
7,Camille,Graham,Sophomore,C,31,10,16,1,0,0,0,2,3,4,3,1,0.1,0.357,0.1,1,0,0,1,0,0,1,2,0.5,14,Florida SouthWestern State,1
89,Laura,Vigna,Sophomore,OF,53,138,31,45,6,1,0,31,16,6,11,1,0.326,0.389,0.384,2,6,8,53,7,0,24,21,1.14,170,Florida SouthWestern State,1
99,Sydney,McCray,Freshman,OF,55,161,58,66,8,6,2,44,14,23,26,3,0.41,0.5,0.571,17,2,3,92,16,0,13,11,1.18,197,Florida SouthWestern State,1
0,Barrett,Lawrence,Freshman,2nd,43,106,14,28,3,1,0,17,2,8,5,2,0.264,0.288,0.311,2,1,1,33,4,0,4,1,4,112,Gulf Coast State,1
10,Bristol,Lovrekovic,Sophomore,P/DP,12,4,0,2,1,0,0,0,1,1,0,0,0.5,0.6,0.75,0,0,0,3,1,0,0,0,0,5,Gulf Coast State,1
11,Jabby,Terrell,Sophomore,OF,49,162,43,64,0,5,0,17,14,23,20,2,0.395,0.449,0.457,2,0,5,74,5,0,1,3,0.33,183,Gulf Coast State,1
12,Marissa,Barnes,Freshman,P/1st,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Gulf Coast State,1
14,Charlotte,Phillips,Freshman,2nd/Catcher/OF,41,109,20,27,4,4,0,13,5,10,1,1,0.248,0.282,0.358,1,2,1,39,8,0,5,0,0,118,Gulf Coast State,1
16,Madyson,Atwater,Freshman,OF,30,44,16,12,3,0,0,4,2,6,2,0,0.273,0.36,0.341,4,0,0,15,3,0,2,1,2,50,Gulf Coast State,1
2,Anouk,Boontjes,Freshman,1st/Catcher,15,28,1,4,1,0,0,3,1,14,0,0,0.143,0.172,0.179,0,0,2,5,1,0,0,0,0,31,Gulf Coast State,1
22,Cassidy,Boltz,Sophomore,3rd/SS,50,170,45,72,17,5,11,67,2,7,9,0,0.424,0.43,0.776,3,4,0,132,33,0,0,3,0,179,Gulf Coast State,1
23,Collier,Peaden,Sophomore,OF/3rd,46,157,45,64,5,1,0,17,13,10,34,1,0.408,0.456,0.452,1,0,1,71,6,0,0,0,0,172,Gulf Coast State,1
27,Makayla,Peters,Freshman,SS/3rd,50,148,34,43,5,1,3,32,16,12,6,0,0.291,0.383,0.399,8,3,5,59,9,0,3,2,1.5,180,Gulf Coast State,1
34,Kyrstyn,Head,Sophomore,P/DP,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Gulf Coast State,1
4,Fallyn,Jordan,Freshman,1st/SS,35,82,14,15,2,0,2,13,4,17,0,0,0.183,0.239,0.28,2,0,1,23,4,0,0,0,0,89,Gulf Coast State,1
5,Morgan,Roden,Sophomore,Catcher/SS,49,141,23,42,4,0,0,20,9,23,3,0,0.298,0.338,0.326,0,1,1,46,4,0,3,0,0,152,Gulf Coast State,1
6,Rachael,Lee,Freshman,OF,38,84,18,19,3,1,1,8,7,16,1,0,0.226,0.286,0.321,0,0,1,27,5,0,1,0,0,92,Gulf Coast State,1
9,Malena,Bearden,Freshman,DP/Catcher,8,6,0,1,0,0,0,0,2,2,0,0,0.167,0.375,0.167,0,0,0,1,0,0,0,0,0,8,Gulf Coast State,1
99,Allison,Tryon,Freshman,Catcher/3rd,50,160,17,56,4,0,7,38,10,8,0,0,0.35,0.392,0.506,1,0,0,81,11,0,3,2,1.5,171,Gulf Coast State,1
0,Nathaly,Galvis Bermedez,Freshman,Utility,46,146,20,54,7,2,4,31,7,13,2,1,0.37,0.399,0.527,0,0,0,77,13,0,2,7,0.29,153,Hillsborough,1
1,Mackenzie,Peters,Freshman,P/SB,47,168,38,65,1,4,0,5,10,20,13,0,0.387,0.428,0.44,2,0,0,74,5,0,7,1,7,180,Hillsborough,1
11,Ashleigh,Penix,Jr,P/ 1B,32,86,10,27,4,0,0,7,5,13,0,0,0.314,0.359,0.36,1,0,0,31,4,0,1,0,0,92,Hillsborough,1
12,Rebecca,Hazard,Sophomore,C,47,154,31,66,11,0,7,43,12,12,2,0,0.429,0.482,0.636,4,0,1,98,18,0,3,4,0.75,171,Hillsborough,1
13,Marisa,Mellone,Jr,P,36,94,13,33,7,0,1,19,6,7,0,0,0.351,0.39,0.457,0,0,1,43,8,0,7,2,3.5,101,Hillsborough,1
14,Rebecca,Quinlan,Sophomore,2B/SS,46,147,19,52,10,0,0,29,9,13,0,0,0.354,0.395,0.422,1,0,2,62,10,0,3,4,0.75,159,Hillsborough,1
15,Emily,Longoria,Jr,2B,37,93,15,23,3,0,1,16,5,21,0,0,0.247,0.346,0.312,9,0,4,29,4,0,1,4,0.25,111,Hillsborough,1
17,Mariah,Mayuga,Jr,OF,47,143,37,49,4,5,0,16,11,16,8,0,0.343,0.427,0.441,10,0,5,63,9,0,2,4,0.5,169,Hillsborough,1
23,Jayla,Daoust,Freshman,C/O,40,88,9,25,4,0,0,7,3,7,2,0,0.284,0.315,0.33,1,0,2,29,4,0,2,8,0.25,94,Hillsborough,1
27,Amber,Rodriguez,Freshman,2B/3B/S,12,8,0,2,0,0,0,0,0,3,0,0,0.25,0.25,0.25,0,0,1,2,0,0,0,0,0,9,Hillsborough,1
3,Tatiana,Roman,Sophomore,OF,42,57,3,7,0,0,0,4,4,15,1,0,0.123,0.194,0.123,1,0,2,7,0,0,0,0,0,64,Hillsborough,1
7,Shaniyah,Pope,Sophomore,P,46,156,31,58,13,0,4,43,2,14,0,0,0.372,0.388,0.532,2,0,8,83,17,0,5,4,1.25,168,Hillsborough,1
8,Adriana,Crespo,Sophomore,C/FB,4,3,1,1,0,0,0,0,0,1,0,0,0.333,0.5,0.333,1,0,1,1,0,0,0,0,0,5,Hillsborough,1
9,Courtney,Killick,Sophomore,1B,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hillsborough,1
1,Cassidy,Patterson,Freshman,OF,44,79,28,31,1,0,0,8,9,8,19,4,0.392,0.455,0.405,0,0,0,32,1,0,5,2,2.5,88,Indian River State,1
10,Mackenzie,Masternak,Freshman,P,17,2,1,1,0,0,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,2,Indian River State,1
12,Ariana,Murillo,Freshman,IF,44,21,13,6,0,0,0,0,3,2,13,4,0.286,0.375,0.286,0,0,0,6,0,0,0,0,0,24,Indian River State,1
14,Daija,Torchia,Sophomore,OF,58,172,64,67,3,4,2,23,30,28,70,4,0.39,0.48,0.488,0,0,1,84,9,1,9,2,4.5,203,Indian River State,1
15,Nevaeh,Kelepouris,Freshman,UTL,21,17,2,7,2,0,1,8,1,3,2,0,0.412,0.444,0.706,0,0,0,12,3,0,0,0,0,18,Indian River State,1
16,Raelyn,Rowland,Sophomore,UTL,58,170,44,61,11,4,1,43,12,15,48,3,0.359,0.401,0.488,0,0,1,83,16,0,4,6,0.67,183,Indian River State,1
18,Kelsey,Ganci,Sophomore,C,50,27,3,7,2,0,0,3,2,5,1,0,0.259,0.31,0.333,0,0,0,9,2,0,1,0,0,29,Indian River State,1
19,Emma,Solis,Freshman,P,25,19,2,5,0,0,0,2,1,3,0,0,0.263,0.3,0.263,0,0,0,5,0,0,0,0,0,20,Indian River State,1
2,Kyla,Knier,Sophomore,OF,46,128,22,37,11,0,1,37,11,9,30,2,0.289,0.343,0.398,0,1,0,51,12,0,3,7,0.43,140,Indian River State,1
20,Cambrie,Todd,Freshman,IF,50,79,15,27,7,0,1,27,15,12,3,1,0.342,0.453,0.468,1,0,0,37,8,0,2,2,1,95,Indian River State,1
21,Zoe,Thornsbury,Freshman,IF,51,126,17,50,9,0,0,30,8,11,6,1,0.397,0.43,0.468,0,1,0,59,9,1,0,2,0,135,Indian River State,1
22,Elle,Thomas,Freshman,IF,22,18,7,11,2,0,0,6,4,2,3,0,0.611,0.682,0.722,0,0,0,13,2,0,0,0,0,22,Indian River State,1
23,Maeghan,Branche,R-Senior,C,23,31,5,4,0,0,0,3,6,8,1,0,0.129,0.27,0.129,0,0,0,4,0,0,0,1,0,37,Indian River State,1
23,Maeghan,Branche,Sophomore,C,13,23,4,8,2,0,1,7,1,1,1,0,0.348,0.375,0.565,0,0,0,13,3,0,1,0,0,24,Indian River State,1
27,Alina,Varga,Sophomore,P,45,81,4,19,6,0,0,14,1,7,0,0,0.235,0.244,0.309,0,0,3,25,6,0,8,3,2.67,85,Indian River State,1
28,Kendal,Bryant,Freshman,IF,43,49,8,13,4,0,1,14,1,6,1,0,0.265,0.28,0.408,0,0,0,20,5,0,2,3,0.67,50,Indian River State,1
3,Dora,Santoyo,Freshman,IF,34,17,10,7,1,0,0,4,1,2,2,0,0.412,0.444,0.471,0,0,0,8,1,0,0,1,0,18,Indian River State,1
4,Adrianna,Portanova,Freshman,IF,57,147,29,54,8,4,0,34,6,13,19,4,0.367,0.392,0.476,0,0,0,70,12,0,7,0,0,153,Indian River State,1
5,Valerie,Martinez,Freshman,C,30,13,8,4,0,0,0,3,3,0,2,2,0.308,0.438,0.308,0,0,0,4,0,0,0,0,0,16,Indian River State,1
7,Dominique,Prevette,Sophomore,P,31,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Indian River State,1
8,Madison,Knight,Sophomore,OF,57,147,37,54,0,0,0,14,9,23,25,4,0.367,0.404,0.367,0,0,2,54,0,0,9,0,0,158,Indian River State,1
9,Bridgett,Dunham,Sophomore,UTL,56,151,41,60,5,1,0,30,21,11,20,0,0.397,0.471,0.444,0,0,1,67,6,0,10,1,10,173,Indian River State,1
0,Maria,Navarro,Sophomore,P,38,131,21,45,9,1,0,17,4,7,3,1,0.344,0.368,0.427,1,0,5,56,10,0,2,0,0,141,Miami Dade,1
10,Taylor,Clayton,Freshman,,40,136,25,43,7,3,2,21,6,8,6,1,0.316,0.349,0.456,2,2,3,62,12,0,4,1,4,149,Miami Dade,1
13,Arianna,Thomason,Freshman,,30,65,8,15,0,0,0,9,7,10,2,3,0.231,0.311,0.231,1,1,6,15,0,0,1,0,0,80,Miami Dade,1
16,Alexis,Ortega,Freshman,,33,84,14,23,7,0,3,18,13,9,1,1,0.274,0.419,0.464,8,0,2,39,10,0,1,1,1,107,Miami Dade,1
17,Gina,Gallegos,Sophomore,P,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Miami Dade,1
2,Ashlyn,Blanchard,Sophomore,P,14,3,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0,0,0,1,0,0,0,0,0,3,Miami Dade,1
20,Maya,Wall,Freshman,,37,99,13,23,4,1,0,16,10,11,1,0,0.232,0.306,0.293,1,1,5,29,5,0,2,1,2,116,Miami Dade,1
28,Beatriz,Narazaki,Sophomore,C,37,118,21,44,6,4,1,26,10,4,1,1,0.373,0.448,0.517,6,0,1,61,11,0,2,1,2,135,Miami Dade,1
3,Jaylin,Padro,Freshman,,11,6,2,1,0,0,0,0,4,2,0,0,0.167,0.5,0.167,0,0,0,1,0,0,0,0,0,10,Miami Dade,1
31,Naomi,Suzuki,Sophomore,,29,64,13,14,0,0,0,4,14,13,0,0,0.219,0.375,0.219,2,0,3,14,0,0,0,1,0,83,Miami Dade,1
34,Chryssia,Catalan,Sophomore,P,36,67,14,15,4,0,0,10,13,15,1,1,0.224,0.346,0.284,0,1,1,19,4,0,2,2,1,82,Miami Dade,1
41,Jimena,Kunigami,Freshman,IF,36,98,22,22,2,1,0,14,11,7,2,0,0.224,0.322,0.265,4,2,4,26,3,0,2,2,1,119,Miami Dade,1
6,Allison,Morales,Sophomore,C,26,51,8,12,6,1,0,12,9,9,0,0,0.235,0.349,0.392,1,2,0,20,7,0,2,0,0,63,Miami Dade,1
7,Erica,Wilton,Sophomore,OF,14,21,4,2,0,0,0,2,4,9,0,0,0.095,0.24,0.095,0,0,1,2,0,0,0,0,0,26,Miami Dade,1
8,Atavya,Fowler,Freshman,,32,67,12,13,3,1,2,10,4,18,8,1,0.194,0.28,0.358,4,0,2,24,6,0,1,4,0.25,77,Miami Dade,1
1,Autumn,Vessier,Freshman,"C, MI",24,28,5,3,0,0,1,5,5,8,0,0,0.107,0.278,0.214,2,1,0,6,1,0,0,0,0,36,Northwest Florida State,1
11,Kassidy,Hood,Sophomore,MIF,61,135,33,38,13,2,8,41,20,29,6,0,0.281,0.418,0.585,13,2,0,79,23,0,3,7,0.43,170,Northwest Florida State,1
12,Maycie,Hardy,Sophomore,IF,67,192,50,71,18,2,8,45,27,16,9,0,0.37,0.445,0.609,4,6,1,117,28,1,10,13,0.77,230,Northwest Florida State,1
13,Rycca,Hinton,Sophomore,"RHP, UT",33,21,10,6,2,0,2,7,8,7,3,0,0.286,0.467,0.667,0,1,0,14,4,0,0,0,0,30,Northwest Florida State,1
14,Abigail,Pippen,Freshman,"C, OF",67,206,60,79,18,3,16,65,22,28,17,2,0.383,0.452,0.733,7,4,0,151,37,0,5,13,0.38,239,Northwest Florida State,1
15,Layla,Thompson,Sophomore,IF,68,196,57,77,14,2,8,57,19,14,12,2,0.393,0.469,0.607,9,0,0,119,24,0,7,14,0.5,224,Northwest Florida State,1
16,Emma,Langston,Sophomore,"RHP, OF",25,3,1,1,0,0,0,1,0,0,0,0,0.333,0.5,0.333,1,0,0,1,0,0,0,0,0,4,Northwest Florida State,1
18,Sophia,Jones,Freshman,OF,63,158,45,54,8,6,9,41,19,35,19,3,0.342,0.416,0.639,1,0,0,101,23,1,4,9,0.44,178,Northwest Florida State,1
2,Gyvan,Hammons,Freshman,OF,64,178,47,75,9,2,2,39,23,19,39,4,0.421,0.48,0.528,0,3,0,94,13,0,7,11,0.64,204,Northwest Florida State,1
20,Rani,Meaux,Freshman,IF,50,94,17,25,5,0,7,25,4,19,0,0,0.266,0.29,0.543,0,2,0,51,12,0,2,0,0,100,Northwest Florida State,1
21,Kylee,Trotter,Freshman,IF,17,20,2,5,2,0,0,4,1,4,1,0,0.25,0.318,0.35,1,0,0,7,2,0,0,0,0,22,Northwest Florida State,1
22,Sydney,Stewart,Sophomore,MIF,61,202,74,86,22,4,8,47,17,11,19,2,0.426,0.485,0.693,9,3,0,140,34,0,6,16,0.38,231,Northwest Florida State,1
23,Julia,Petty,Sophomore,RHP,42,1,1,1,0,0,1,3,0,0,0,0,1,1,4,0,0,0,4,1,0,0,0,0,1,Northwest Florida State,1
3,Brilee,Broussard,Sophomore,OF,63,145,39,49,1,1,0,18,10,17,21,3,0.338,0.396,0.359,4,0,1,52,2,1,11,7,1.57,160,Northwest Florida State,1
7,Kamryn,Carver,Freshman,UT,33,34,16,11,1,0,5,14,4,7,8,0,0.324,0.425,0.794,2,0,0,27,6,0,0,0,0,40,Northwest Florida State,1
8,Riley,Gibson,Sophomore,UT,62,150,43,45,12,0,15,44,24,43,9,0,0.3,0.408,0.68,4,1,1,102,27,0,5,6,0.83,180,Northwest Florida State,1
9,Ashlyn,Shirah,Freshman,IF,37,72,15,20,4,0,2,16,5,10,4,3,0.278,0.321,0.417,0,1,0,30,6,0,4,4,1,78,Northwest Florida State,1
1,Hannah,Waltman,Freshman,OF,29,45,13,10,1,0,0,6,7,7,4,0,0.222,0.327,0.244,0,0,1,11,1,0,1,0,0,53,Pensacola State,1
11,Kasey,Markusic,Freshman,C,19,35,5,6,0,0,2,8,4,8,0,0,0.171,0.268,0.343,1,1,2,12,2,0,0,0,0,43,Pensacola State,1
12,Cara,Willis,Freshman,OF,21,8,11,1,0,0,0,1,4,1,0,0,0.125,0.417,0.125,0,0,1,1,0,0,0,0,0,13,Pensacola State,1
13,Maddison,Coones,Jr,OF,16,23,7,4,0,0,0,3,6,8,1,0,0.174,0.355,0.174,1,1,0,4,0,0,0,0,0,31,Pensacola State,1
14,Lydia,Drake,Sophomore,P,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pensacola State,1
15,Madison,Sabo,Freshman,P,24,26,1,7,1,0,0,4,3,7,0,0,0.269,0.313,0.308,0,3,1,8,1,0,0,0,0,33,Pensacola State,1
17,Taylor,Houseton,Freshman,P/1B,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Pensacola State,1
18,Brandie,Seber,Sophomore,SS/UT,38,88,22,23,6,0,1,15,15,16,2,2,0.261,0.369,0.364,0,0,1,32,7,0,6,0,0,104,Pensacola State,1
2,Bre'Asia,Thomas,Freshman,3B/UT,47,136,23,41,8,0,2,20,9,16,1,0,0.301,0.368,0.404,6,1,3,55,10,0,5,2,2.5,155,Pensacola State,1
20,Susanna,Soldi,Jr,OF/1B,49,158,36,48,13,2,0,20,25,21,5,0,0.304,0.397,0.411,0,1,3,65,15,0,2,5,0.4,187,Pensacola State,1
21,Marina,Goins,Freshman,UT,10,11,3,3,1,0,0,3,0,5,0,0,0.273,0.273,0.364,0,0,0,4,1,0,0,0,0,11,Pensacola State,1
22,Skylar,Buzbee,Sophomore,C,34,97,8,25,8,0,1,17,7,9,0,0,0.258,0.305,0.371,0,1,5,36,9,1,5,5,1,110,Pensacola State,1
23,Tori,Ratigan,Sophomore,SS/2B,49,164,42,56,1,1,1,11,24,24,25,0,0.341,0.432,0.378,2,0,1,62,3,0,2,3,0.67,191,Pensacola State,1
24,Kylee,Crowder,Freshman,3B/UT,48,139,28,42,9,1,8,40,11,24,5,0,0.302,0.358,0.554,1,0,4,77,18,0,3,6,0.5,155,Pensacola State,1
32,Emma,Brown,Sophomore,SS,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pensacola State,1
4,Brianna,Duggins,Sophomore,3B/UT,46,139,18,37,10,0,3,27,1,22,2,0,0.266,0.266,0.403,0,3,5,56,13,0,5,3,1.67,148,Pensacola State,1
6,Brooke,Vega,Freshman,OF,7,5,1,0,0,0,0,1,2,1,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,7,Pensacola State,1
7,Samantha,Ladowski,Freshman,IF,40,103,17,32,4,1,2,20,14,14,8,0,0.311,0.398,0.427,1,0,1,44,7,0,5,2,2.5,119,Pensacola State,1
8,Georgia,Hood,Sophomore,P/1B,48,148,38,68,16,0,18,65,28,11,0,0,0.459,0.533,0.932,0,4,0,138,34,1,0,3,0,180,Pensacola State,1
9,Gabriella,Lindsey,Freshman,P,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pensacola State,1
10,Emma,Hart,NA,NA,39,86,8,17,2,0,0,12,8,14,0,0,0.198,0.278,0.221,2,1,1,19,2,0,7,10,0.7,98,Polk State,1
